Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
A000055,0.030270874500274658,0.016899144276976585,0.01265818439424038,0.024440767243504524,0.02300703339278698,0.01077998522669077,0.029995420947670937,0.033686134964227676,0.011790291406214237,0.014416392892599106,0.010113873519003391,0.01937423087656498,0.043705783784389496,0.03690076619386673,0.0166286863386631,0.010666015557944775,0.025700556114315987,0.007903254590928555,0.02186531387269497,0.010200119577348232,0.00971474964171648,0.017099929973483086,0.013019435107707977,0.008211342617869377,0.03181391954421997,0.029959792271256447,0.03404076397418976,0.011535841971635818,0.008946211077272892,0.012420013546943665,0.01376347430050373,0.014363771304488182,0.025067241862416267,0.009251351468265057,0.010722317732870579,0.015765130519866943,0.032515499740839005,0.03888722136616707,0.009678171016275883,0.022975372150540352,0.010413245297968388,0.013859890401363373,0.05414993688464165,0.018373791128396988,0.0131598562002182,0.008801483549177647,0.037328097969293594,0.016893472522497177,0.029674679040908813,0.016591062769293785
A000367,0.012892850674688816,0.02999904751777649,0.012954185716807842,0.019472118467092514,0.03910784050822258,0.015509082935750484,0.014081669971346855,0.014881967566907406,0.011950697749853134,0.022099405527114868,0.010812962427735329,0.04026474431157112,0.01479679811745882,0.017076097428798676,0.012593874707818031,0.014330411329865456,0.010776911862194538,0.012353726662695408,0.03410334140062332,0.014892122708261013,0.01166557427495718,0.026749243959784508,0.018003664910793304,0.010675257071852684,0.017365554347634315,0.11833391338586807,0.017624665051698685,0.014418108388781548,0.01294170506298542,0.011728765442967415,0.025567688047885895,0.016769954934716225,0.016709312796592712,0.012444842606782913,0.013387800194323063,0.01794941909611225,0.020474983379244804,0.03155238926410675,0.013862465508282185,0.015822790563106537,0.012206648476421833,0.02416391856968403,0.018525507301092148,0.025191858410835266,0.018224403262138367,0.01218827161937952,0.01337431464344263,0.017751572653651237,0.02614050731062889,0.013234893791377544
A000370,0.022669831290841103,0.015151762403547764,0.014446246437728405,0.022835461422801018,0.04075585678219795,0.013969785533845425,0.019208677113056183,0.016833288595080376,0.011117002926766872,0.02385643497109413,0.02111487090587616,0.032836876809597015,0.018440132960677147,0.022175906226038933,0.010131614282727242,0.011731036007404327,0.01561310887336731,0.009569804184138775,0.01609984040260315,0.013213456608355045,0.01054867822676897,0.022792717441916466,0.012307664379477501,0.009374077431857586,0.03339063376188278,0.030570577830076218,0.013484271243214607,0.012998671270906925,0.024236097931861877,0.014572639018297195,0.009108900092542171,0.013703701086342335,0.012158369645476341,0.015199456363916397,0.015380754135549068,0.029933879151940346,0.021493110805749893,0.02572157047688961,0.033485185354948044,0.01345061231404543,0.014497180469334126,0.029419923201203346,0.0446786992251873,0.01144408993422985,0.013393055647611618,0.010916409082710743,0.0551481731235981,0.043335579335689545,0.015152983367443085,0.01633138209581375
A000371,0.025964735075831413,0.02252836339175701,0.011385835707187653,0.01825067400932312,0.04442155733704567,0.012252267450094223,0.0311049222946167,0.015020878985524178,0.009889432229101658,0.009366948157548904,0.026741504669189453,0.029910702258348465,0.013247951865196228,0.03201562538743019,0.009992129169404507,0.018880901858210564,0.013100240379571915,0.007367714308202267,0.030216548591852188,0.01239703968167305,0.00826002936810255,0.02557588741183281,0.015304790809750557,0.016654495149850845,0.034937240183353424,0.015847010537981987,0.01005368772894144,0.012108882889151573,0.01902579329907894,0.015438858419656754,0.012371798045933247,0.009807567112147808,0.0133321238681674,0.015850327908992767,0.007513931021094322,0.016626736149191856,0.026647863909602165,0.021862156689167023,0.022754857316613197,0.01186743937432766,0.011001710779964924,0.0324518047273159,0.01962251402437687,0.008784533478319645,0.019056325778365135,0.006407847162336111,0.06603040546178818,0.05205037072300911,0.048530831933021545,0.010166222229599953
A000372,0.033883776515722275,0.015094086527824402,0.018331637606024742,0.012169131077826023,0.04209044203162193,0.017339223995804787,0.00851348228752613,0.01623692736029625,0.01494611520320177,0.010210367850959301,0.012728855013847351,0.03286069259047508,0.01746051013469696,0.021506603807210922,0.009462517686188221,0.013812731020152569,0.03171951696276665,0.008043818175792694,0.018134737387299538,0.010144021362066269,0.009731489233672619,0.03470180183649063,0.013155730441212654,0.00848005898296833,0.06608755886554718,0.017057275399565697,0.021537788212299347,0.010591519065201283,0.015089835040271282,0.013363761827349663,0.011825700290501118,0.020528271794319153,0.017695801332592964,0.010524553246796131,0.011548464186489582,0.01538520585745573,0.027522902935743332,0.05237909406423569,0.015930647030472755,0.00766259990632534,0.00796465389430523,0.021128546446561813,0.021573122590780258,0.019819224253296852,0.015233438462018967,0.009153171442449093,0.041349880397319794,0.04741039499640465,0.04101845622062683,0.009859861806035042
A000374,0.02535761520266533,0.008558861911296844,0.01707819290459156,0.04527360200881958,0.012472682632505894,0.015153670683503151,0.019909894093871117,0.01796792447566986,0.007677426561713219,0.008240556344389915,0.011095824651420116,0.026905592530965805,0.011687632650136948,0.032284706830978394,0.022414837032556534,0.009313461370766163,0.05682127922773361,0.007610237691551447,0.03400396183133125,0.016782937571406364,0.017711009830236435,0.021319979801774025,0.023942138999700546,0.009249705821275711,0.011982915922999382,0.0663425400853157,0.0096140680834651,0.011378287337720394,0.007354609202593565,0.008777427487075329,0.01694747433066368,0.02110123820602894,0.016249775886535645,0.012045583687722683,0.009567820467054844,0.01657341979444027,0.027769647538661957,0.03181030601263046,0.017030633985996246,0.00768415629863739,0.008971469476819038,0.01631053350865841,0.026659496128559113,0.019276117905974388,0.02241108939051628,0.011667326092720032,0.019121747463941574,0.027052059769630432,0.06849527359008789,0.008971202187240124
A000375,0.013877203688025475,0.015520605258643627,0.019159555435180664,0.04633675515651703,0.03349374979734421,0.010443756356835365,0.013515597209334373,0.02814462222158909,0.008574713952839375,0.007839219644665718,0.012157734483480453,0.050930704921483994,0.013208763673901558,0.02574269473552704,0.013171736150979996,0.020329169929027557,0.07304651290178299,0.0072426884435117245,0.03470173478126526,0.00797641184180975,0.013095223344862461,0.029734276235103607,0.007961874827742577,0.01313574705272913,0.011771058663725853,0.022673843428492546,0.02043265663087368,0.00966327078640461,0.014982982538640499,0.008555194362998009,0.010448385961353779,0.010523810982704163,0.01004105620086193,0.008612236008048058,0.009859239682555199,0.010627941228449345,0.022383712232112885,0.0196156594902277,0.014742155559360981,0.012320689857006073,0.010635723359882832,0.019006051123142242,0.038398850709199905,0.024228539317846298,0.018697572872042656,0.009167643263936043,0.055366311222314835,0.02676263637840748,0.0503864623606205,0.010755237191915512
A000377,0.02133084274828434,0.013546053320169449,0.025827469304203987,0.024039624258875847,0.02561357617378235,0.01263461634516716,0.015757320448756218,0.013687411323189735,0.007975643500685692,0.0084468312561512,0.007028940133750439,0.009521945379674435,0.016566598787903786,0.01068973634392023,0.010073541663587093,0.006597030907869339,0.03545817732810974,0.015780162066221237,0.01990444026887417,0.012459673918783665,0.00827157124876976,0.025111110880970955,0.007901239208877087,0.013068840838968754,0.061388954520225525,0.03352896869182587,0.02666241116821766,0.010240405797958374,0.013527988456189632,0.020932354032993317,0.012545396573841572,0.033488016575574875,0.0075297607108950615,0.010458897799253464,0.006678352598100901,0.030576087534427643,0.018478069454431534,0.03256010264158249,0.009001084603369236,0.006589115131646395,0.010504600591957569,0.008645677007734776,0.013654273003339767,0.08715522289276123,0.029896801337599754,0.02604345977306366,0.038387835025787354,0.017791302874684334,0.028631877154111862,0.03781048208475113
A000378,0.03733839467167854,0.032231006771326065,0.013356410898268223,0.05399487540125847,0.05422850325703621,0.011050989851355553,0.008598783053457737,0.012446935288608074,0.01193142682313919,0.012806234881281853,0.011231033131480217,0.02449224889278412,0.00791170820593834,0.017529739066958427,0.005393245257437229,0.017439937219023705,0.04007130488753319,0.004947614390403032,0.0194090586155653,0.01301732286810875,0.005104584153741598,0.06445147842168808,0.018763236701488495,0.005357399117201567,0.05229054018855095,0.006109657231718302,0.018515395000576973,0.012163456529378891,0.010008360259234905,0.017580416053533554,0.0062784417532384396,0.006494622677564621,0.006935812998563051,0.016284992918372154,0.0061059556901454926,0.04012411832809448,0.013788580894470215,0.019355934113264084,0.016730083152651787,0.006007377989590168,0.0066821156069636345,0.010182710364460945,0.06480450928211212,0.005613531451672316,0.015709631145000458,0.014175369404256344,0.03957454860210419,0.03446066752076149,0.02522662654519081,0.02569301426410675
B000213,0.02625083550810814,0.01001983042806387,0.02958030067384243,0.023073751479387283,0.04197845235466957,0.03285208344459534,0.0132520142942667,0.015756405889987946,0.010041833855211735,0.02006591111421585,0.010307440534234047,0.05180344730615616,0.02681940421462059,0.018366746604442596,0.017823651432991028,0.010613943450152874,0.010318614542484283,0.009151916950941086,0.012284582480788231,0.010606732219457626,0.009318003430962563,0.0346769243478775,0.016559461131691933,0.009305313229560852,0.03291729837656021,0.031181827187538147,0.055507153272628784,0.008971601724624634,0.011531297117471695,0.011846798472106457,0.01233458798378706,0.025482511147856712,0.018531829118728638,0.016489852219820023,0.012730011716485023,0.00936122052371502,0.017185548320412636,0.024968119338154793,0.017557036131620407,0.008890881203114986,0.01342768780887127,0.014028922654688358,0.06044929474592209,0.012709162198007107,0.009256693534553051,0.010711167939007282,0.058341577649116516,0.015727844089269638,0.00959842186421156,0.00943409651517868
