Bioguide_ID,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49
A000055,0.011307520791888237,0.0053473361767828465,0.004756167996674776,0.005136908032000065,0.026986418291926384,0.08292945474386215,0.06808683276176453,0.04479043930768967,0.01581665500998497,0.006038964726030827,0.03809846192598343,0.006164582446217537,0.03361376374959946,0.03190399706363678,0.024856150150299072,0.005849616602063179,0.013013122603297234,0.005682319402694702,0.003769777249544859,0.012536032125353813,0.14737854897975922,0.020928729325532913,0.00668251933529973,0.006519737653434277,0.004572760779410601,0.005344653036445379,0.017967097461223602,0.0039015060756355524,0.006902598310261965,0.0383480004966259,0.021936584264039993,0.011988744139671326,0.006864218972623348,0.005923002026975155,0.006284106057137251,0.017928358167409897,0.004312590695917606,0.005278322845697403,0.006372146774083376,0.02608664706349373,0.014462118968367577,0.013322895392775536,0.0310810636729002,0.0038538496010005474,0.006179907824844122,0.034077323973178864,0.006968335248529911,0.049890127032995224,0.006599589250981808,0.015359359793365002
A000367,0.006429516710340977,0.007251115050166845,0.00613041315227747,0.00663432851433754,0.04501430317759514,0.005623762495815754,0.023694535717368126,0.024777328595519066,0.0059539820067584515,0.0064201862551271915,0.006488144397735596,0.008117598481476307,0.007446669973433018,0.04091857373714447,0.025257930159568787,0.007877818308770657,0.01059225108474493,0.117350272834301,0.0055394722148776054,0.006707269698381424,0.008737522177398205,0.1862451136112213,0.0085587864741683,0.00933106243610382,0.0052987197414040565,0.007934026420116425,0.038461197167634964,0.02277309261262417,0.02662666328251362,0.007308497559279203,0.04596426337957382,0.006563287228345871,0.008446181192994118,0.007043026387691498,0.02681945264339447,0.02473440207540989,0.005509437993168831,0.008030598983168602,0.007850633934140205,0.010173886083066463,0.011082295328378677,0.007709042634814978,0.0060491738840937614,0.005219628568738699,0.008135125041007996,0.008171290159225464,0.008559015579521656,0.08237658441066742,0.008219626732170582,0.007842924445867538
A000370,0.005132319405674934,0.014476575888693333,0.02314913272857666,0.030870996415615082,0.09934762865304947,0.006810969673097134,0.004961664322763681,0.011793802492320538,0.04622916504740715,0.02597799524664879,0.05230801925063133,0.010110851377248764,0.0157677810639143,0.016114667057991028,0.026365024968981743,0.027429897338151932,0.004062740597873926,0.032145727425813675,0.019712267443537712,0.0058910842053592205,0.006400143727660179,0.013967099599540234,0.0064524440094828606,0.0064844852313399315,0.0476963110268116,0.005174102261662483,0.012351039797067642,0.003867004532366991,0.004622618202120066,0.015279005281627178,0.015171674080193043,0.14295423030853271,0.006802475079894066,0.038660015910863876,0.005817606579512358,0.02326955460011959,0.028415607288479805,0.005953322630375624,0.006193472072482109,0.005820038728415966,0.03770046308636665,0.005908908788114786,0.016181580722332,0.008227094076573849,0.006181498523801565,0.017408248037099838,0.00658431788906455,0.003773751202970743,0.0065362718887627125,0.01148726511746645
A000371,0.04032629728317261,0.004093961324542761,0.021459942683577538,0.004862218163907528,0.09436846524477005,0.023375706747174263,0.08593578636646271,0.03922434151172638,0.0030030671041458845,0.026055458933115005,0.0032353345304727554,0.004649389535188675,0.00388240534812212,0.0039231316186487675,0.039552975445985794,0.0037237973883748055,0.02527058683335781,0.040347736328840256,0.005774085409939289,0.02188582345843315,0.01889193058013916,0.03463161736726761,0.0054371654987335205,0.004792656283825636,0.021514764055609703,0.004035658203065395,0.004284503869712353,0.0030935744289308786,0.003545206505805254,0.021730465814471245,0.021106185391545296,0.020676227286458015,0.005191692616790533,0.02218054048717022,0.04087911173701286,0.01612538844347,0.05772131681442261,0.0045470320619642735,0.005657838191837072,0.004193528555333614,0.007138489279896021,0.011187718249857426,0.13583819568157196,0.0029293757397681475,0.00475250743329525,0.005389268510043621,0.004913975950330496,0.0030024913139641285,0.005010572262108326,0.004650446120649576
A000372,0.013491900637745857,0.013332500122487545,0.007294840645045042,0.026767488569021225,0.04879501461982727,0.06804628670215607,0.02179572358727455,0.0017702451441437006,0.02547927387058735,0.006934409961104393,0.03603031113743782,0.0017182811861857772,0.03567728027701378,0.0060203601606190205,0.030305834487080574,0.007499692030251026,0.006739866454154253,0.0023323288187384605,0.04997448995709419,0.041377611458301544,0.0036018805112689734,0.002052996074780822,0.0022415476851165295,0.0023502723779529333,0.025214364752173424,0.00213047512806952,0.028404947370290756,0.01262457575649023,0.014142454601824284,0.007043221965432167,0.021547527983784676,0.09716014564037323,0.0021734419278800488,0.007275874726474285,0.07010585814714432,0.05158305540680885,0.029762156307697296,0.02478719688951969,0.0020520566031336784,0.026191968470811844,0.0022362542804330587,0.002090123947709799,0.030314693227410316,0.0017566703027114272,0.001856977236457169,0.04139940068125725,0.002074744086712599,0.02513090893626213,0.007019096054136753,0.002291372511535883
A000374,0.11609439551830292,0.0032024371903389692,0.003132082289084792,0.002574093407019973,0.13782860338687897,0.012690388597548008,0.00437371339648962,0.013998890295624733,0.01431246381253004,0.02200775034725666,0.0022895215079188347,0.0678606927394867,0.0025386239867657423,0.008676373399794102,0.040018122643232346,0.014993826858699322,0.005435268860310316,0.003241306636482477,0.0023794977460056543,0.014094005338847637,0.004291357938200235,0.01336970366537571,0.0037073493003845215,0.0038007902912795544,0.011008980683982372,0.003891382133588195,0.0035818922333419323,0.02081730030477047,0.014568292535841465,0.010856492444872856,0.02664528414607048,0.04011812061071396,0.0035095824860036373,0.014803311787545681,0.1068391352891922,0.0396229550242424,0.03865531459450722,0.026756396517157555,0.003020482137799263,0.0030972028616815805,0.014668543823063374,0.0038700781296938658,0.014409923925995827,0.0019570498261600733,0.0035543804988265038,0.06212552636861801,0.0037874183617532253,0.0021633177530020475,0.003858158364892006,0.0049021877348423
A000375,0.04727137088775635,0.0029969403985887766,0.01735176518559456,0.007500920910388231,0.02668900415301323,0.03010694682598114,0.05434851348400116,0.002096611075103283,0.0314982533454895,0.0081162815913558,0.05248114466667175,0.01218551304191351,0.005473801866173744,0.006400713697075844,0.024251043796539307,0.017479583621025085,0.01375245675444603,0.009961473755538464,0.03399933874607086,0.03506993502378464,0.006618450861424208,0.010897316038608551,0.003298933617770672,0.003940826281905174,0.007872386835515499,0.007342349737882614,0.014648690819740295,0.010861484333872795,0.014700667932629585,0.033091966062784195,0.02637200616300106,0.009691311046481133,0.0034960436169058084,0.028802616521716118,0.04142148047685623,0.10300541669130325,0.04857632517814636,0.0422244518995285,0.003719129366800189,0.011831804178655148,0.018891725689172745,0.0032285708002746105,0.049751993268728256,0.009392064064741135,0.003370926482602954,0.02545393817126751,0.003515287535265088,0.007262246683239937,0.004056510049849749,0.003631380619481206
A000377,0.014524159021675587,0.006967257708311081,0.02307627722620964,0.00638442300260067,0.0048786974512040615,0.005423424765467644,0.02429870329797268,0.036271121352910995,0.005707506090402603,0.007124531548470259,0.005499897990375757,0.007438827771693468,0.006178208626806736,0.11536440253257751,0.0140031473711133,0.007240756880491972,0.01363355666399002,0.024172354489564896,0.00515221431851387,0.014594092033803463,0.00953667052090168,0.04317950829863548,0.008914558216929436,0.00826549343764782,0.013878395780920982,0.01262675505131483,0.016197260469198227,0.004984118044376373,0.00602845149114728,0.09236867725849152,0.047881945967674255,0.009594687260687351,0.008728917688131332,0.006549367215484381,0.02399469166994095,0.005698220804333687,0.013042274862527847,0.024439243599772453,0.007849743589758873,0.10857559740543365,0.016580060124397278,0.007581784855574369,0.014350075274705887,0.03780887648463249,0.013341669924557209,0.006995109375566244,0.008353821001946926,0.05830448493361473,0.008356131613254547,0.008059783838689327
A000378,0.0042824652045965195,0.0637936145067215,0.004809959325939417,0.004233156330883503,0.0038375346921384335,0.00672130985185504,0.0080864317715168,0.0038292864337563515,0.1379489004611969,0.00655968114733696,0.0378621444106102,0.006059923674911261,0.07933097332715988,0.010940184816718102,0.18225069344043732,0.006011242978274822,0.003960234113037586,0.00592006603255868,0.00433206744492054,0.0046386923640966415,0.013936716131865978,0.014460207894444466,0.006873598787933588,0.007032990455627441,0.005595416761934757,0.004726679064333439,0.0064226845279335976,0.003716360544785857,0.005112797487527132,0.08873753994703293,0.005052671767771244,0.004982371814548969,0.008218906819820404,0.00561060244217515,0.018017152324318886,0.034643206745386124,0.05409242585301399,0.005964953452348709,0.005748929921537638,0.006825516931712627,0.00455643841996789,0.006351310294121504,0.004170650616288185,0.03440859168767929,0.006350612733513117,0.004932585638016462,0.008627394214272499,0.026855992153286934,0.006618807092308998,0.005947306752204895
B000213,0.004674560856074095,0.004651868250221014,0.0038439217023551464,0.004628563299775124,0.042467426508665085,0.06584335118532181,0.03661411255598068,0.013943225145339966,0.010276582092046738,0.044541407376527786,0.010766791179776192,0.0054035428911447525,0.04799497127532959,0.0066934446804225445,0.0035298094153404236,0.005780542269349098,0.0034505913499742746,0.0505065955221653,0.023429008200764656,0.09760617464780807,0.005076720844954252,0.08539390563964844,0.00553384842351079,0.005749098490923643,0.03989239037036896,0.005021700635552406,0.0073707313276827335,0.0031369999051094055,0.0044611976481974125,0.006623463239520788,0.003335049841552973,0.004022256936877966,0.0058982535265386105,0.04385051131248474,0.025013094767928123,0.008203722536563873,0.06543683260679245,0.04965563863515854,0.00561884418129921,0.0038793999701738358,0.003802178893238306,0.005415859632194042,0.02397582121193409,0.06947966665029526,0.0049775405786931515,0.00440505426377058,0.005710102152079344,0.0028473343700170517,0.0048656524159014225,0.004700621590018272
