Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,Presidential_VoteShare_Dem2016,Presidential_VoteShare_GOP2016,DW-Nominate_1,DW-Nominate_2,TBIP_Floor_Speeches,Present_Cong115,Progressive_Caucus_Cong115,NewDems_Caucus_Cong115,BlueDog_Caucus_Cong115,ProblemSolvers_Caucus_Cong115,RSC_Caucus_Cong115,Freedom_Caucus_Cong115,GOP_Leadership_Cong115,DEM_Leadership_Cong115,CommitteeChair_Cong115,TopCommittee_Cong115,Present_Cong116,Progressive_Caucus_Cong116,NewDems_Caucus_Cong116,BlueDog_Caucus_Cong116,ProblemSolvers_Caucus_Cong116,RSC_Caucus_Cong116,Freedom_Caucus_Cong116,GOP_Leadership_Cong116,DEM_Leadership_Cong116,CommitteeChair_Cong116,TopCommittee_Cong116,House_Election_Candidate_Vote_Share_2016,House_Election_Candidate_Vote_Share_2018
P000593,Ed Perlmutter,M,Democrat,1953,7,CO-07,51.4,39.4,-0.281,0.076,-0.0020303782,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,57.71553793056159,60.43087992520842
M001195,Alexander Mooney,M,Republican,1971,3,WV-02,29.4,65.8,0.578,-0.294,0.20695917,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,56.24611128767295,53.95913902886832
L000567,Leonard Lance,M,Republican,1952,5,NJ-07,48.6,47.5,0.329,-0.237,0.20856808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.51719972327976,
R000435,Ileana Ros-Lehtinen,F,Republican,1952,15,FL-27,58.5,38.9,0.244,-0.225,-0.16743532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.62441810747729,
M001165,Kevin McCarthy (California),M,Republican,1965,7,CA-23,36.1,58.1,0.458,0.208,0.29621732,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,66.66450583201821,63.71699048470653
H000874,Steny Hoyer,M,Democrat,1939,20,MD-05,64.1,32.1,-0.38,0.116,-0.2791708,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,68.70569442710534,70.2793145501941
B001302,Andy Biggs,M,Republican,1958,2,AZ-05,36.5,57.6,0.878,-0.479,0.31379327,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,61.785915083671824,59.424590499067286
R000580,Peter Roskam,M,Republican,1961,6,IL-06,50.2,43.2,0.429,0.018,0.26114494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.17619144627257,
B001251,G.K. Butterfield,M,Democrat,1947,9,NC-01,54.7,43.6,-0.404,0.18,-0.062042072,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69.15880354329825,69.84762079398551
P000613,Jimmy Panetta,M,Democrat,1969,2,CA-20,70.4,23.2,-0.303,0.041,-0.06552495,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,75.73165362441642,81.37346547286252
G000552,Louie Gohmert,M,Republican,1953,8,TX-01,25.3,72.2,0.622,-0.329,0.44480324,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,73.12467934353892,72.26065658301822
D000621,Ron DeSantis,M,Republican,1978,3,FL-06,39.9,56.9,0.663,-0.105,0.13460086,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.490558120016786,
S001190,Brad Schneider,M,Democrat,1961,3,IL-10,62.0,32.6,-0.168,-0.21,-0.23273022,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,58.509320321732176,65.59011832534442
N000189,Dan Newhouse,M,Republican,1955,3,WA-04,35.1,57.9,0.351,0.218,0.2943941,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,54.215425570730936,62.817747718961904
J000298,Pramila Jayapal,F,Democrat,1965,2,WA-07,82.1,12.2,-0.691,-0.211,-0.39701566,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,61.496334368753736,83.56115445131638
G000571,Tulsi Gabbard,F,Democrat,1981,4,HI-02,61.4,29.6,-0.279,-0.25,-0.20080878,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,76.75924917229914,77.36231898688175
F000466,Brian Fitzpatrick,M,Republican,1973,2,PA-01,49.1,47.1,0.182,-0.2,0.5734424,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,50.848034290220426,51.259558881497156
S001200,Darren Soto,M,Democrat,1978,2,FL-09,54.8,41.9,-0.381,0.117,-0.20090029,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,57.735138209389504,58.02174989974287
C000266,Steve Chabot,M,Republican,1953,12,OH-01,44.6,51.2,0.575,-0.223,0.0626156,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,55.58117863096518,51.32066566734581
C001093,Doug Collins,M,Republican,1966,4,GA-09,19.3,77.8,0.616,0.108,0.24100682,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,89.25781105084695,79.50547292204139
V000081,Nydia Velazquez,F,Democrat,1953,14,NY-07,86.9,10.4,-0.547,-0.336,-0.1760069,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,82.33773007398054,85.26592160303112
R000608,Jacky Rosen,F,Democrat,1957,1,NV-03,46.5,47.5,-0.27,0.268,0.0057953163,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.46485779502321,
F000464,John Faso,M,Republican,1952,1,NY-19,44.0,50.8,0.234,-0.008,0.18733732,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.387162489789674,
R000599,Raul Ruiz,M,Democrat,1972,4,CA-36,52.2,43.4,-0.241,0.061,-0.28549525,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,60.62371339209554,59.01655974648323
G000559,John Garamendi,M,Democrat,1945,6,CA-03,53.0,40.4,-0.308,-0.097,-0.12611203,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,58.744483531847834,58.072946941025016
B001284,Susan Brooks,F,Republican,1960,4,IN-05,41.3,53.1,0.362,0.222,0.2746826,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,59.263583719586265,56.76168196306794
N000002,Jerrold Nadler,M,Democrat,1947,15,NY-10,78.3,18.8,-0.508,-0.508,-0.24822582,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,71.67887675559298,76.8546345718105
P000096,Bill Pascrell,M,Democrat,1937,12,NJ-09,64.3,33.1,-0.366,-0.004,-0.1116743,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69.98003034649423,70.2698387354303
S001193,Eric Swalwell,M,Democrat,1980,4,CA-15,69.9,24.2,-0.366,-0.114,-0.33712223,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,73.38684845437572,72.96754383447642
L000578,Doug LaMalfa,M,Republican,1960,4,CA-01,36.5,56.2,0.536,0.107,0.3857482,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,57.04704192328649,54.88658888728849
L000263,Sander Levin,M,Democrat,1931,18,MI-09,51.5,43.7,-0.379,-0.091,-0.32551485,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.73597417677696,
L000557,John B. Larson,M,Democrat,1948,11,CT-01,59.4,36.3,-0.398,-0.055,-0.13318776,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60.159607539199236,60.60954256949004
O000168,Pete Olson,M,Republican,1962,6,TX-22,44.2,52.1,0.548,0.309,0.30540216,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,55.49632804155582,51.36093878717573
T000470,Scott Tipton,M,Republican,1956,5,CO-03,40.0,52.0,0.447,-0.026,0.41981378,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,53.14153522963113,51.5201270713795
T000474,Norma Torres,F,Democrat,1965,3,CA-35,67.7,26.9,-0.363,0.031,-0.26046997,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,70.99885447457214,69.39821773674039
W000795,Joe Wilson,M,Republican,1947,10,SC-02,38.6,56.3,0.538,0.105,-0.6720378,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,58.41799567719498,56.25051042432303
